id_registro,fecha,detalle,tipo_gasto,ingreso,gastos,total_ingresos,total_gastos,saldo_actual
T-20260221193504,2026-02-21 19:35:04,DAMAS,,658.1,0,658.1,0.0,658.1
AC-2026-02-21-22-37-31,2026-02-21 22:37:31,Arqueo - MÚSICA,,780.4,0,1438.5,0.0,1438.5
